w,f,policy,law,failures,total,pct
7,5,wrap,mul_assoc,1603272,2097152,76.4500
7,5,wrap,distributivity,1467520,2097152,69.9768
7,5,wrap,monotonicity_add,349504,1056768,33.0729
7,5,wrap,additive_inverse,0,16384,0.0000
7,5,saturate,add_assoc,0,2097152,0.0000
7,5,saturate,mul_assoc,767434,2097152,36.5941
7,5,saturate,distributivity,443478,2097152,21.1467
7,5,saturate,monotonicity_add,0,1056768,0.0000
7,5,saturate,additive_inverse,8128,16384,49.6094
7,6,wrap,add_assoc,0,2097152,0.0000
7,6,wrap,mul_assoc,1078466,2097152,51.4253
7,6,wrap,distributivity,1507968,2097152,71.9055
7,6,wrap,monotonicity_add,349504,1056768,33.0729
7,6,wrap,additive_inverse,0,16384,0.0000
7,6,saturate,add_assoc,0,2097152,0.0000
7,6,saturate,mul_assoc,837906,2097152,39.9545
7,6,saturate,distributivity,852315,2097152,40.6415
7,6,saturate,monotonicity_add,0,1056768,0.0000
7,6,saturate,additive_inverse,8128,16384,49.6094
7,7,wrap,add_assoc,0,2097152,0.0000
7,7,wrap,mul_assoc,468232,2097152,22.3270
7,7,wrap,distributivity,1522080,2097152,72.5784
7,7,wrap,monotonicity_add,349504,1056768,33.0729
7,7,wrap,additive_inverse,0,16384,0.0000
7,7,saturate,add_assoc,0,2097152,0.0000
7,7,saturate,mul_assoc,468232,2097152,22.3270
7,7,saturate,distributivity,1479008,2097152,70.5246
7,7,saturate,monotonicity_add,0,1056768,0.0000
7,7,saturate,additive_inverse,8128,16384,49.6094
