q3. `resolve the intermediate` names two operations

== the table, W = 6, both policies, both readings ==
mode                   sign     policy    F   reading1   reading2   same?
`overflow_policy: in {wrap, saturating}` on `holds` is supported under BOTH
readings and is not ambiguous at all. The row is right.

The readings come apart on the SIGNED domain only, and there the gap is the
whole verdict: at F = 0 reading 1 differs on 42.14 percent of triples for
every mode while reading 2 differs on none, so under reading 1 nothing is
free and under reading 2 the free set is the signed row's own three. The
signed row carries `overflow_policy: wrap` and states nothing about
saturating, which is the right thing to have written, and this measurement
says why: the saturating extension has no truth value until the reading is
named, and nothing in `dimension::overflow_policy` names it, because what
varies is not which policy applies but how many times it is applied.

== WHAT THIS REFUTES ==
`228` finding F2's justification: "under saturating every mode fails at
every fraction width including zero, so the prediction is known not to
extend and I do not claim it does." F2's predicate carries
`signedness: in {unsigned, signed}`. On the unsigned half of that region
the sentence is false at all 42 cells measured here: every mode is free
under saturating at every F including zero, under both readings. The
sentence is true only on the signed half and only under reading 1, which is
the cell `228`'s own v1 control fired in, at the figure C4 reproduces.
So a correct half of a region was dropped because a control fired in the
other half under a reading the file never names.

instrument: sound
